                  name,                                             location ,                        website1,                  website1 cost ,                  website2,                  website2 cost
Coorg Jungle Camp Back water Resort,"Kodagu, 8.1 km to Coorg Jungle Resort",Goibibo.com,27800,Agoda,27800
"Evolve Back Chikkana Halli Estate, Coorg","Madikeri, 13.9 km to Coorg Jungle Resort",Booking.com,6276,Goibibo.com,27800
Parampara Resort Spa,"Kushalnagar, 8.9 km to Coorg Jungle Resort",Goibibo.com,17252,Agoda,17252
The Ibnii Spa Resort,"Kushalnagar, 7.3 km to Coorg Jungle Resort",Goibibo.com,1419,Booking.com,1500
Treebo Trend Sandpipers,"Madikeri, 16.3 km to Coorg Jungle Resort",Booking.com,1520,Goibibo.com,1419
OYO 9421 Atithi Comforts,"Kodagu, 17.3 km to Coorg Jungle Resort",Booking.com,2118,Booking.com,1520
Treebo Trend New Redfern,"Mysore, 16.1 km to Coorg Jungle Resort",Booking.com,3548,Booking.com,3530
Kstdc Hotel Mayura Valley View Madikeri,"Coonoor, 7.1 km to Coorg Jungle Resort",Goibibo.com,1602,Agoda,1602
OYO 3009 Coorg Mandarin,"Madikeri, 16.5 km to Coorg Jungle Resort",Booking.com,1543,Goibibo.com,1602
Oyo 39325 The New Pepperland,"Madikeri, 16.4 km to Coorg Jungle Resort",Booking.com,2252,Booking.com,1543
Treebo Trend Fort Mercara,"Madikeri, 16.3 km to Coorg Jungle Resort",Booking.com,1612,Booking.com,2252
OYO 8499 City Comforts Inn,"Madikeri, 14.7 km to Coorg Jungle Resort",Agoda,1674,Goibibo.com,1612
FabHotel Prestige Residency Madikeri,"Madikeri, 17.0 km to Coorg Jungle Resort",Booking.com,2530,Agoda,1674
Treebo Trend Vrindavan Coorg,"Kushalnagar, 9.4 km to Coorg Jungle Resort",Agoda,2962,Goibibo.com,2811
Capital O 16047 Igloo Residency,"Kodagu, 8.7 km to Coorg Jungle Resort",Goibibo.com,10171,Booking.com,10160
Sixth Element,"Kodagu, 17.0 km to Coorg Jungle Resort",Booking.com,2128,Agoda,2200
Vasathi,"Kodagu, 16.5 km to City centre",Booking.com,3436,Goibibo.com,2128
